KO id,KO_conf_final,KO_conf_raw,hmm_len,ORF_name,ORF_len,E-value,score,domain_evalue,domain_score,hmm from,hmm to,ali from,ali to,ORF_best_match,ORF_best_match_score,kofam_score_threshold,is_outcompeted,KO_annotation_conf,flag_is_dubious,flag_is_below_kofam_threshold,KO_Neighbors,KO_Neighbor_Count,Modules,KO_count,KO_Background_Freq
K00055,1.0,1.0,380.0,SAMD00000344.contig00004_65,380.0,1.6e-142,472.2,1.8e-142,472.0,6.0,372.0,1.0,367.0,K00055,472.2,380.83,False,1.0,False,False,"K15757,K15758,K15760,K15761,K15763,K15764",6,"M00537,M00538",2525,0.118
K00058,1.0,1.0,599.0,SAMD00000344.contig00014_13,599.0,1.9e-101,337.7,2.1e-101,337.6,82.0,381.0,10.0,319.0,K00015,382.9,328.7,True,1.0,True,False,,0,M00020,19119,0.893
K00059,1.0,1.0,389.0,SAMD00000344.contig00022_33,389.0,9.500000000000001e-81,268.8,1.1e-80,268.7,86.0,321.0,3.0,239.0,K00059,268.8,268.13,False,1.0,False,False,"K00665,K00667,K00668,K19560,K19561",5,"M00083,M00572",20810,0.972
K00067,0.329,0.329,482.0,SAMD00000344.contig00012_58,482.0,5.5e-21,72.1,2.8e-20,69.8,103.0,325.0,168.0,448.0,K24300,639.3,299.13,True,1.8021314232011628e-171,False,True,,0,M00793,14663,0.685
K00074,1.0,1.0,516.0,SAMD00000344.contig00001_118,516.0,3.8e-88,293.8,8.1e-88,292.7,115.0,398.0,1.0,320.0,K00074,293.8,409.9,False,0.9996548521851576,False,True,K02615,1,M00878,11954,0.559
K00077,1.0,1.0,428.0,SAMD00000344.contig00002_24,428.0,2.8e-66,221.3,3.3e-66,221.0,56.0,352.0,1.0,316.0,K00077,221.3,80.67,False,1.0,False,False,"K06982,K09722",2,"M00119,M00914",13661,0.638
K00082,0.0,0.0,207.0,SAMD00000344.contig00002_42,207.0,5.5e-06,23.3,6.3e-06,23.1,130.0,167.0,104.0,141.0,K14654,39.2,350.83,True,1.6353697512456784e-05,False,True,,0,M00125,36,0.002
K00087,0.029,0.029,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K00106,K01081,K16838,K19970",4,"M00546,M00958,M00959",4344,0.203
K00088,1.0,1.0,970.0,SAMD00000344.contig00030_4,970.0,2.6e-155,516.2,3.3e-121,403.3,322.0,587.0,98.0,371.0,K00088,516.2,370.83,False,1.0,False,False,K18533,1,M00050,21135,0.988
K00097,0.194,0.194,,,,1000.0,0.0,,,,,,,,,,,0.0,,,,0,M00124,11260,0.526
K00099,0.463,0.463,534.0,SAMD00000344.contig00001_143,534.0,0.00021,17.4,0.00037,16.6,164.0,259.0,35.0,126.0,K00003,495.3,221.23,True,1.3732988999742557e-144,False,True,,0,M00096,17409,0.813
K00106,0.0,0.0,,,,1000.0,0.0,,,,,,,,,,,0.0,,,K01490,1,"M00546,M00958,M00959",65,0.003
K00108,0.135,0.135,,,,1000.0,0.0,,,,,,,,,,,0.0,,,,0,M00555,9386,0.439
K00116,0.113,0.113,588.0,SAMD00000344.contig00025_2,588.0,0.0022,13.4,6.6,2.0,81.0,100.0,3.0,22.0,K00384,383.6,264.27,True,3.6198919308705733e-112,False,True,K01900,1,"M00009,M00011",8588,0.401
K00125,0.0,0.0,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K00194,K00197,K00584,K11261,K14126,K14127,K14128,K16176,K16178",9,"M00356,M00357,M00563,M00567,M00617",376,0.018
K00128,0.002,0.002,604.0,SAMD00000344.contig00002_191,604.0,1.5e-132,440.3,1.8e-132,440.1,55.0,496.0,7.0,474.0,K07248,692.4,574.67,True,1.2892528291801428e-76,False,True,,0,M00135,1062,0.05
K00130,0.17,0.17,594.0,SAMD00000344.contig00002_191,594.0,6.6e-154,510.5,7.799999999999999e-154,510.3,59.0,529.0,8.0,480.0,K07248,692.4,673.63,True,1.748412040942654e-55,False,True,K11440,1,M00555,10557,0.493
K00131,0.015,0.015,510.0,SAMD00000344.contig00002_191,510.0,8.9e-99,328.5,1.1e-98,328.2,22.0,477.0,5.0,461.0,K07248,692.4,501.13,True,2.8522302256663034e-110,False,True,,0,M00308,3139,0.147
K00133,1.0,1.0,656.0,SAMD00000344.contig00001_168,656.0,5.3e-131,435.4,6.4e-131,435.2,112.0,442.0,1.0,346.0,K00133,435.4,224.0,False,1.0,False,False,,0,"M00016,M00017,M00018,M00033,M00525,M00526,M00527",20835,0.974
K00134,1.0,1.0,468.0,SAMD00000344.contig00025_18,468.0,2.3e-129,429.4,2.7e-129,429.2,75.0,402.0,1.0,333.0,K00134,429.4,413.4,False,1.0,False,False,"K00150,K00844,K00918,K01100,K01622,K02689,K02690,K02692,K02693,K02694,K02703,K02704,K02705,K02706,K02707,K02708,K05298,K05308,K08074,K08928,K08929,K11389,K12406,K16305,K18978",25,"M00001,M00002,M00003,M00165,M00308,M00552,M00611,M00612",21187,0.99
K00135,0.284,0.284,746.0,SAMD00000344.contig00002_191,746.0,2.6e-165,548.9,2.8e-165,548.8,160.0,630.0,7.0,481.0,K07248,692.4,587.8,True,6.341552938178316e-44,False,True,"K00139,K13524,K17761",3,"M00027,M00956,M00957",13637,0.637
K00137,0.013,0.013,475.0,SAMD00000344.contig00002_191,475.0,4.3e-129,428.1,5.6e-129,427.7,3.0,470.0,7.0,477.0,K07248,692.4,684.77,True,2.7401361735202825e-80,False,True,,0,M00956,2965,0.139
K00139,0.0,0.0,642.0,SAMD00000344.contig00002_191,642.0,4e-134,445.4,4.700000000000001e-134,445.2,116.0,595.0,3.0,481.0,K07248,692.4,818.83,True,4.4217183002083306e-75,False,True,,0,M00027,43,0.002
K00141,0.004,0.004,487.0,SAMD00000344.contig00002_191,487.0,1.6e-118,393.6,1.8e-118,393.5,13.0,483.0,8.0,484.0,K07248,692.4,650.6,True,1.127813517622877e-90,False,True,,0,"M00537,M00538",1645,0.077
K00145,1.0,1.0,412.0,SAMD00000344.contig00024_12,412.0,1.4e-109,363.7,1.5999999999999998e-109,363.5,38.0,377.0,1.0,341.0,K00145,363.7,125.77,False,1.0,False,False,"K00818,K14677,K22478",3,"M00028,M00845",17289,0.808
K00147,1.0,1.0,628.0,SAMD00000344.contig00019_6,628.0,4.4e-194,643.8,4.9e-194,643.6,174.0,584.0,4.0,412.0,K00147,643.8,546.53,False,1.0,False,False,K12657,1,M00015,18488,0.864
K00149,0.0,0.0,574.0,SAMD00000344.contig00002_191,574.0,3.7e-115,382.7,4.5e-115,382.4,68.0,544.0,5.0,479.0,K07248,692.4,744.17,True,5.902151361708313e-94,False,True,,0,M00135,554,0.026
K00150,0.0,0.0,345.0,SAMD00000344.contig00025_18,345.0,1.7e-48,162.5,2.1000000000000002e-48,162.2,1.0,305.0,1.0,330.0,K00134,429.4,310.0,True,4.519539196943653e-81,False,True,,0,"M00001,M00002,M00003,M00165,M00611,M00612",367,0.017
K00151,0.017,0.017,497.0,SAMD00000344.contig00002_191,497.0,4.400000000000001e-124,411.8,4.800000000000001e-124,411.7,11.0,485.0,5.0,480.0,K07248,692.4,721.43,True,3.3961214802311726e-85,False,True,,0,M00533,3372,0.158
K00152,0.0,0.0,483.0,SAMD00000344.contig00002_191,483.0,6.700000000000001e-71,236.2,8.4e-71,235.8,4.0,469.0,8.0,474.0,K07248,692.4,1091.27,True,4.678600663676786e-138,False,True,"K14579,K14580,K14582,K14583,K14585",5,M00534,122,0.006
K00161,0.033,0.033,548.0,SAMD00000344.contig00010_7,548.0,1.4e-79,265.5,1.6e-79,265.3,129.0,462.0,37.0,357.0,K00166,341.3,431.67,True,1.5202896142801567e-23,False,True,K13997,1,M00307,4654,0.217
K00162,0.035,0.035,444.0,SAMD00000344.contig00010_6,444.0,4.7e-116,385.0,5.9e-116,384.7,68.0,408.0,5.0,340.0,K00167,429.5,489.4,True,4.019417817262429e-14,False,True,K13997,1,M00307,4765,0.223
K00163,0.184,0.184,1014.0,SAMD00000344.contig00013_26,1014.0,9.499999999999999e-25,83.9,1.4e-14,50.3,170.0,364.0,27.0,226.0,K00615,565.9,304.83,True,7.84655746437954e-146,False,True,K13997,1,M00307,10984,0.513
K00164,0.219,0.219,1065.0,SAMD00000344.contig00010_7,1065.0,0.0025,12.9,0.0031,12.6,458.0,607.0,195.0,346.0,K00166,341.3,1224.13,True,1.3859559394232712e-99,False,True,K01900,1,"M00009,M00011",11976,0.56
K00166,1.0,1.0,560.0,SAMD00000344.contig00010_7,560.0,1.7e-102,341.3,2e-102,341.1,148.0,504.0,18.0,363.0,K00166,341.3,416.83,False,1.0,False,True,,0,M00036,9210,0.43
K00167,1.0,1.0,565.0,SAMD00000344.contig00010_6,565.0,3e-129,429.5,3.5e-129,429.3,209.0,534.0,3.0,328.0,K00167,429.5,480.6,False,0.9999953035787149,False,True,,0,M00036,9229,0.431
K00169,0.002,0.002,437.0,SAMD00000344.contig00010_6,437.0,1.9e-06,23.9,2.4e-06,23.5,262.0,344.0,198.0,280.0,K00167,429.5,299.6,True,7.984205732066044e-123,False,True,"K00170,K00189,K08940,K15230,K15231",5,"M00173,M00307,M00374,M00614,M00620",1046,0.049
K00170,0.001,0.001,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K00189,K08940,K15230,K15231",4,"M00173,M00307,M00374,M00614,M00620",747,0.035
K00171,0.003,0.003,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K00189,K08940,K14534,K15230,K15231,K18210",6,"M00173,M00307,M00374,M00614,M00620",1314,0.061
K00172,0.002,0.002,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K00170,K00189,K08940,K15230,K15231",5,"M00173,M00307,M00374,M00614,M00620",1113,0.052
K00174,0.053,0.053,643.0,SAMD00000344.contig00010_6,643.0,4.2e-07,25.9,4.8e-07,25.7,427.0,559.0,137.0,280.0,K00167,429.5,262.2,True,3.1936822928264295e-122,False,True,"K00170,K08940,K08941,K08943,K15230,K15231",6,"M00009,M00011,M00173,M00614,M00620",5909,0.276
K00175,0.044,0.044,504.0,SAMD00000344.contig00015_28,504.0,2.4e-09,34.0,3e-09,33.7,289.0,496.0,133.0,366.0,K05847,449.1,236.17,True,1.1026782285501246e-125,False,True,"K08940,K08941,K08943,K15230,K15231",5,"M00009,M00011,M00173,M00614,M00620",5378,0.251
K00176,0.012,0.012,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K05942,K08940,K15230,K15231",4,"M00009,M00011,M00173,M00614,M00620",2775,0.13
K00177,0.006,0.006,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K05942,K08940,K15230,K15231",4,"M00009,M00011,M00173,M00614,M00620",2015,0.094
K00189,0.0,0.0,,,,1000.0,0.0,,,,,,,,,,,0.0,,,,0,M00307,22,0.001
K00192,0.0,0.0,,,,1000.0,0.0,,,,,,,,,,,0.0,,,,0,M00422,92,0.004
K00193,0.0,0.0,,,,1000.0,0.0,,,,,,,,,,,0.0,,,K16178,1,"M00357,M00422,M00617",85,0.004
K00194,0.0,0.0,376.0,SAMD00000344.contig00008_50,376.0,0.00089,15.0,49.0,-0.6,121.0,180.0,154.0,209.0,K02500,432.5,272.7,True,2.089184573179718e-126,False,True,"K00125,K00584,K03390,K04480,K11261,K14080,K14084,K14126,K14127,K14128,K14138,K16176,K16178,K25008,K25123,K25124",16,"M00357,M00377,M00422,M00617,M00618",348,0.016
K00195,0.0,0.0,172.0,SAMD00000344.contig00014_5,172.0,0.00076,16.2,0.0016,15.1,28.0,85.0,200.0,255.0,K01652,481.1,98.97,True,1.1250064588588735e-140,False,True,,0,M00422,0,0.0
K00197,0.0,0.0,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K00125,K00194,K00584,K03390,K04480,K11261,K14080,K14081,K14084,K14126,K14127,K14128,K14138,K16176,K16178,K25008,K25123,K25124",18,"M00357,M00377,M00422,M00617,M00618",420,0.02
K00198,0.001,0.001,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K00197,K25008,K25123,K25124",4,"M00377,M00618",821,0.038
K00200,0.001,0.0,551.0,SAMD00000344.contig00006_18,551.0,3.8e-08,29.2,0.012,11.0,436.0,469.0,351.0,384.0,K01465,387.6,410.0,True,1.2907720538072598e-108,False,True,"K00201,K00202,K00203,K00672,K01499",5,"M00567,M00617",497,0.023
K00201,0.001,0.0,460.0,SAMD00000344.contig00014_5,460.0,0.0098,11.5,0.15,7.5,244.0,293.0,185.0,230.0,K01652,481.1,176.0,True,4.328266927503266e-142,False,True,"K00200,K00202,K00203,K00672,K01499",5,"M00567,M00617",467,0.022
K00202,0.001,0.0,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K00200,K00201,K00203,K00672,K01499",5,"M00567,M00617",481,0.022
K00203,0.0,0.0,,,,1000.0,0.0,,,,,,,,,,,0.0,,,,0,"M00567,M00617",13,0.001
K00204,0.001,0.001,155.0,SAMD00000344.contig00001_243,155.0,0.0039,14.0,0.0073,13.1,15.0,50.0,20.0,55.0,K18831,128.7,171.57,True,2.9638723644075534e-35,False,True,"K00194,K00197,K00584,K14080,K14081,K16176",6,"M00567,M00617",625,0.029
K00205,0.0,0.0,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K00203,K16176,K16178",3,"M00567,M00617",281,0.013
K00207,0.0,0.0,1110.0,SAMD00000344.contig00006_15,1110.0,8e-44,146.8,8e-44,146.8,700.0,891.0,90.0,271.0,K17828,418.1,406.3,True,2.140731385562693e-82,False,True,,0,M00046,0,0.0
K00208,1.0,1.0,423.0,SAMD00000344.contig00022_26,423.0,2.8000000000000002e-98,326.8,3.1e-98,326.7,130.0,379.0,4.0,250.0,K00208,326.8,275.97,False,1.0,False,False,"K00665,K19560,K19561",3,"M00083,M00572",11045,0.516
K00209,1.0,1.0,402.0,SAMD00000344.contig00001_223,402.0,7.8e-146,483.0,9.5e-146,482.7,2.0,383.0,6.0,391.0,K00209,483.0,138.3,False,1.0,False,False,K00665,1,M00083,4151,0.194
K00211,0.0,0.0,475.0,SAMD00000344.contig00001_202,475.0,2.1e-07,27.0,2.6e-07,26.6,16.0,190.0,5.0,187.0,K04517,267.3,414.73,True,4.5971856452558786e-73,False,True,,0,M00025,105,0.005
K00215,1.0,1.0,402.0,SAMD00000344.contig00003_86,402.0,9.7e-80,265.9,1.1e-79,265.8,85.0,335.0,1.0,255.0,K00215,265.9,138.93,False,1.0,False,False,,0,"M00016,M00525,M00526,M00527",20518,0.959
K00220,0.009,0.009,316.0,SAMD00000344.contig00001_202,316.0,2.8e-67,224.1,3.1e-67,224.0,10.0,288.0,3.0,278.0,K04517,267.3,386.53,True,9.897014061790048e-14,False,True,,0,M00040,2435,0.114
K00226,0.009,0.009,419.0,SAMD00000344.contig00006_15,419.0,5.9e-63,210.5,6.9e-63,210.2,70.0,369.0,5.0,303.0,K17828,418.1,248.43,True,3.207546049999266e-63,False,True,K00608,1,M00051,2411,0.113
K00228,0.144,0.144,,,,1000.0,0.0,,,,,,,,,,,0.0,,,,0,"M00121,M00868",9698,0.453
K00230,1.0,1.0,285.0,SAMD00000344.contig00001_28,285.0,1.4e-05,21.7,1.4e-05,21.7,95.0,142.0,2.0,49.0,K00230,21.7,69.57,False,1.0,False,True,,0,M00121,5427,0.254
K00231,0.087,0.087,851.0,SAMD00000344.contig00017_20,851.0,6.7e-09,31.5,7.7e-09,31.4,96.0,160.0,5.0,71.0,K01854,553.8,143.43,True,5.916069464608351e-158,False,True,,0,"M00121,M00868,M00926",7566,0.354
K00232,0.011,0.011,973.0,SAMD00000344.contig00008_11,973.0,2.2e-13,46.4,4.5e-13,45.4,146.0,397.0,70.0,278.0,K18244,355.5,178.87,True,8.945988594910406e-94,False,True,K09479,1,M00087,2709,0.127
K00234,0.117,0.117,915.0,SAMD00000344.contig00011_46,915.0,1.7000000000000002e-32,109.6,2.4e-10,36.3,374.0,457.0,193.0,290.0,K26318,449.9,1172.57,True,3.626540029586051e-103,False,True,K01900,1,"M00009,M00011",8737,0.408
K00235,0.115,0.115,,,,1000.0,0.0,,,,,,,,,,,0.0,,,K01900,1,"M00009,M00011",8665,0.405
K00236,0.011,0.011,,,,1000.0,0.0,,,,,,,,,,,0.0,,,K01900,1,"M00009,M00011",2646,0.124
K00237,0.0,0.0,,,,1000.0,0.0,,,,,,,,,,,0.0,,,,0,"M00009,M00011",0,0.0
K00239,0.161,0.097,621.0,SAMD00000344.contig00011_46,621.0,8.2e-54,180.0,1e-52,176.4,31.0,434.0,12.0,462.0,K26318,449.9,620.23,True,5.649423996179856e-82,False,True,"K01900,K08940,K08941,K08943,K14465,K14467,K14469,K14534,K15016,K15017,K15038,K15052,K15230,K15231",14,"M00009,M00011,M00149,M00173,M00374,M00376,M00613,M00614",7982,0.373
K00240,0.148,0.093,,,,1000.0,0.0,,,,,,,,,,,0.0,,,"K00170,K01900,K08940,K08941,K08943,K14465,K14467,K14469,K14534,K15016,K15017,K15038,K15052,K15230,K15231",15,"M00009,M00011,M00149,M00173,M00374,M00376,M00613,M00614",7804,0.365
K00241,0.281,0.281,263.0,SAMD00000344.contig00001_73,263.0,0.49,7.4,0.48,7.5,112.0,158.0,137.0,185.0,K08505,12.5,56.1,True,0.028331219653427588,False,True,"K01900,K08929,K08940,K08941,K08943,K14465,K14467,K14468,K14469,K14471,K14472,K15038,K15052,K25774",14,"M00009,M00011,M00149,M00173,M00374,M00376,M00613,M00614",13041,0.609
K00242,0.192,0.192,,,,1000.0,0.0,,,,,,,,,,,0.0,,,K01900,1,"M00009,M00011,M00149,M00173,M00614",11206,0.524
K00244,0.009,0.009,591.0,SAMD00000344.contig00011_46,591.0,2.7000000000000004e-44,148.5,1.9e-22,76.4,5.0,268.0,18.0,293.0,K26318,449.9,695.47,True,1.8601985729750118e-91,False,True,,0,"M00009,M00011,M00150",2476,0.116
K00245,0.009,0.009,,,,1000.0,0.0,,,,,,,,,,,0.0,,,,0,"M00009,M00011,M00150",2488,0.116
K00246,0.009,0.009,,,,1000.0,0.0,,,,,,,,,,,0.0,,,,0,"M00009,M00011,M00150",2422,0.113
K00247,0.023,0.023,121.0,SAMD00000344.contig00007_13,121.0,0.086,10.0,0.13,9.4,23.0,116.0,1.0,104.0,K08976,15.3,32.53,True,0.014857801617690397,False,True,,0,"M00009,M00011,M00150",2368,0.111
K00249,0.066,0.066,570.0,SAMD00000344.contig00008_11,570.0,6.7e-72,240.1,8.000000000000001e-72,239.8,94.0,440.0,9.0,360.0,K18244,355.5,366.87,True,1.8244774512291133e-35,False,True,"K07515,K09479,K10527",3,"M00036,M00087",6588,0.308
K00252,0.142,0.142,555.0,SAMD00000344.contig00008_11,555.0,8.9e-51,170.0,1.1e-50,169.7,139.0,489.0,10.0,360.0,K18244,355.5,500.07,True,1.4419021992357631e-56,False,True,,0,M00957,9634,0.45
K00253,0.062,0.062,526.0,SAMD00000344.contig00008_11,526.0,2e-77,257.9,2.4e-77,257.7,97.0,461.0,7.0,364.0,K18244,355.5,486.47,True,4.1636328187849676e-30,False,True,,0,M00036,6393,0.299
K00254,0.336,0.336,542.0,SAMD00000344.contig00006_15,542.0,9.5e-34,114.1,1.4000000000000001e-33,113.6,121.0,425.0,5.0,300.0,K17828,418.1,168.7,True,3.068183415810997e-92,False,True,"K01954,K11541,K13421",3,M00051,14818,0.692
K00255,0.047,0.047,594.0,SAMD00000344.contig00008_11,594.0,1.3000000000000002e-44,150.0,1.7e-44,149.6,146.0,507.0,13.0,366.0,K18244,355.5,595.43,True,1.3751050941808228e-62,False,True,"K09479,K10527",2,M00087,5550,0.259
K00261,0.008,0.008,513.0,SAMD00000344.contig00018_37,513.0,7.200000000000001e-81,269.6,7.9e-81,269.5,44.0,484.0,18.0,446.0,K00262,692.0,524.1,True,6.997289324607196e-128,False,True,"K19280,K19281",2,M00740,2249,0.105
K00274,0.066,0.066,720.0,SAMD00000344.contig00017_20,720.0,7.4e-10,35.4,1e-09,35.0,186.0,277.0,3.0,97.0,K01854,553.8,284.67,True,8.831820785125156e-157,False,True,,0,M00135,6563,0.307
K00275,0.309,0.309,,,,1000.0,0.0,,,,,,,,,,,0.0,,,,0,M00124,14215,0.664
K00278,0.319,0.319,599.0,SAMD00000344.contig00011_46,599.0,1.4e-57,192.4,2.8e-15,52.7,368.0,431.0,390.0,458.0,K26318,449.9,513.97,True,3.053346674388838e-78,False,True,K06210,1,M00115,14454,0.675
K00281,0.219,0.219,1308.0,SAMD00000344.contig00016_41,1308.0,0.0017,13.2,0.0023,12.8,360.0,479.0,75.0,196.0,K17217,539.6,622.23,True,3.447857332913226e-159,False,True,,0,M00621,11977,0.56
K00282,0.022,0.022,464.0,SAMD00000344.contig00006_34,464.0,3e-09,33.2,4.4e-09,32.6,144.0,265.0,77.0,194.0,K01760,520.9,418.53,True,1.5405333860544548e-147,False,True,,0,M00621,3775,0.176
K00283,0.022,0.022,581.0,SAMD00000344.contig00010_26,581.0,0.00018,17.3,43.0,-0.4,492.0,524.0,353.0,385.0,K18933,48.7,521.73,True,3.5289600537874365e-10,False,True,,0,M00621,3769,0.176
K00286,1.0,1.0,455.0,SAMD00000344.contig00002_6,455.0,2.1e-78,261.3,2.4e-78,261.1,111.0,371.0,1.0,260.0,K00286,261.3,167.1,False,1.0,False,False,K12657,1,"M00015,M00972",20257,0.947
K00287,1.0,1.0,338.0,SAMD00000344.contig00003_82,338.0,6e-51,171.0,7.2e-51,170.7,92.0,248.0,1.0,157.0,K00287,171.0,64.17,False,1.0,False,False,"K13941,K13998,K19965,K22099,K22100",5,"M00126,M00840",17630,0.824
K00294,0.022,0.022,658.0,SAMD00000344.contig00002_191,658.0,1.9e-73,245.1,2.3000000000000002e-73,244.8,82.0,553.0,6.0,464.0,K07248,692.4,478.37,True,2.2350278519995347e-135,False,True,,0,M00970,3810,0.178
K00297,1.0,1.0,506.0,SAMD00000344.contig00008_13,506.0,3e-89,297.0,3.4e-89,296.8,96.0,372.0,2.0,281.0,K00297,297.0,186.57,False,1.0,False,False,"K00194,K00197,K14138,K25008,K25123,K25124",6,"M00377,M00618",15844,0.74
K00300,0.0,0.0,287.0,SAMD00000344.contig00007_48,287.0,9.3e-09,32.2,1.2e-08,31.8,118.0,194.0,4.0,81.0,K16216,115.2,358.97,True,1.0339757656866577e-25,False,True,,0,M00140,175,0.008
K00301,0.028,0.028,523.0,SAMD00000344.contig00003_41,523.0,1.6e-15,54.0,2.3e-15,53.5,47.0,412.0,3.0,356.0,K03153,196.5,415.13,True,1.2683105876356835e-43,False,True,,0,M00975,4254,0.199
